sr_no,order_id,book_date,value_date,client_id,invoice_no,payment_ref,category,transaction_currency,base_currency,amount_transaction_ccy,amount_base_ccy,gst_amount,acc_no,statement_no,bank_ref_no,status
1,ORD-10001,2026-08-02,2026-08-02,CUST-91070,INV-10001,pay_FL10433218BC,SALES,INR,INR,7197.16,7197.16,1097.87,XXXXXXXX4521,,,partially_refunded
2,ORD-10002,2026-08-03,2026-08-03,CUST-19116,INV-10002,pay_GW54235116WM,SALES,INR,INR,743.5,743.5,113.42,XXXXXXXX4521,,,completed
3,ORD-10003,2026-08-03,2026-08-03,CUST-20458,INV-10003,pay_WN31647525QR,SALES,INR,INR,7841.54,7841.54,1196.17,XXXXXXXX4521,,,completed
4,ORD-10004,2026-08-03,2026-08-03,CUST-93320,INV-10004,pay_JQ13953767IP,SALES,INR,INR,8389.87,8389.87,1279.81,XXXXXXXX4521,,,completed
5,ORD-10005,2026-08-03,2026-08-03,CUST-56566,INV-10005,pay_JA91669784RU,SALES,INR,INR,2331.22,2331.22,355.61,XXXXXXXX4521,,,completed
6,ORD-10006,2026-08-04,2026-08-04,CUST-99593,INV-10006,pay_UF32528809BH,SALES,INR,INR,6584.94,6584.94,1004.48,XXXXXXXX4521,,,completed
7,ORD-10007,2026-08-05,2026-08-05,CUST-32431,INV-10007,pay_CH96383465CH,SALES,INR,INR,5272.12,5272.12,804.22,XXXXXXXX4521,,,completed
8,ORD-10008,2026-08-05,2026-08-05,CUST-93886,INV-10008,pay_KE83473829PY,SALES,INR,INR,4283.89,4283.89,653.47,XXXXXXXX4521,,,completed
9,ORD-10009,2026-08-05,2026-08-05,CUST-99733,INV-10009,pay_AD76311656UD,SALES,INR,INR,3444.54,3444.54,525.44,XXXXXXXX4521,,,completed
10,ORD-10010,2026-08-05,2026-08-05,CUST-14207,INV-10010,pay_AF81080132EN,SALES,INR,INR,8107.94,8107.94,1236.8,XXXXXXXX4521,,,completed
11,ORD-10011,2026-08-05,2026-08-05,CUST-18675,INV-10011,pay_HK80500978DG,SALES,INR,INR,2345.53,2345.53,357.79,XXXXXXXX4521,,,completed
12,ORD-10012,2026-08-06,2026-08-06,CUST-51245,INV-10012,pay_IQ85435346PT,SALES,INR,INR,2487.39,2487.39,379.43,XXXXXXXX4521,,,partially_refunded
13,ORD-10013,2026-08-06,2026-08-06,CUST-28726,INV-10013,pay_QJ42784980TQ,SALES,INR,INR,2868.34,2868.34,437.54,XXXXXXXX4521,,,completed
14,ORD-10014,2026-08-07,2026-08-07,CUST-83579,INV-10014,pay_KV16400524CJ,SALES,INR,INR,2924.4,2924.4,446.09,XXXXXXXX4521,,,completed
